Morph-lemma,Morph-inflection,Occurrence
商量,商量,23
大火,大火,23
威力,威力,23
對出,對出,23
成交,成交,23
打掃,打掃,23
捷徑,捷徑,23
改名,改名,23
日前,日前,23
暗示,暗示,23
曝,曝,23
桂,桂,23
棚,棚,23
洪聖,洪聖,23
淇,淇,23
滘,滘,23
熨,熨,23
熱愛,熱愛,23
爭在,爭在,23
狐,狐,23
白白,白白,23
神話,神話,23
穢,穢,23
葵,葵,23
適宜,適宜,23
郊野,郊野,23
霞,霞,23
印象中,印象中,23
唯獨,唯獨,23
寢,寢,23
言語,言語,23
lab,lab,23
㗎咋,㗎咋,23
安穩,安穩,23
推翻,推翻,23
年份,年份,23
炸雞,炸雞,23
豉,豉,23
熱衷,熱衷,23
終結,終結,23
西北,西北,23
眾多,眾多,23
舉個例,舉個例,23
非禮,非禮,23
瞭,瞭,23
後期,後期,23
戰國,戰國,23
整齊,整齊,23
薛,薛,23
特定,特定,23
親密,親密,23
姑且,姑且,23
case,case,23
遵,遵,23
傭,傭,23
次要,次要,23
現身,現身,23
錄影,錄影,23
俗語,俗語,23
導人,導人,23
不知不覺,不知不覺,23
舖頭,舖頭,23
dem,dem,23
專注,專注,23
好受,好受,23
死者,死者,23
點樣去,點樣去,23
界線,界線,23
砰,砰,23
起手,起手,23
打埋,打埋,23
細粒,細粒,23
大體,大體,23
巴黎,巴黎,23
激情,激情,23
貞,貞,23
倖,倖,23
凜,凜,23
反問,反問,23
壓抑,壓抑,23
工廠,工廠,23
收音,收音,23
注定,注定,23
弱者,弱者,23
至上,至上,23
瞞,瞞,23
繃,繃,23
圈子,圈子,23
特權,特權,23
快趣,快趣,23
眼瞓,眼瞓,23
卡通,卡通,23
便宜,便宜,23
歡樂,歡樂,23
飲茶,飲茶,23
漢人,漢人,23
中秋,中秋,23
發燒,發燒,23
逃走,逃走,23
強勁,強勁,23
名校,名校,23
呃人,呃人,23
唔耐煩,唔耐煩,23
天橋,天橋,23
妄想,妄想,23
廢物,廢物,23
瘡,瘡,23
自爆,自爆,23
解散,解散,23
誅,誅,23
在世,在世,23
勇敢,勇敢,23
可行,可行,23
品味,品味,23
擁抱,擁抱,23
發光,發光,23
醒悟,醒悟,23
kem,kem,23
前所未有,前所未有,23
印度,印度,23
年級,年級,23
強硬,強硬,23
恐怖襲擊,恐怖襲擊,23
愚蠢,愚蠢,23
死咁,死咁,23
死黨,死黨,23
淘汰,淘汰,23
煙花,煙花,23
爆粗,爆粗,23
睄,睄,23
笑死,笑死,23
總而言之,總而言之,23
莊子,莊子,23
衰仔,衰仔,23
賤人,賤人,23
過關,過關,23
開飯,開飯,23
黑警,黑警,23
綠燈,綠燈,23
陷阱,陷阱,23
人權,人權,23
機密,機密,23
泄,泄,23
日期,日期,23
性感,性感,23
特性,特性,23
傳教士,傳教士,23
說服力,說服力,23
假名,假名,23
sell,sell,23
短期,短期,23
偵,偵,23
侮辱,侮辱,23
萬歲,萬歲,23
附和,附和,23
驚奇,驚奇,23
口袋,口袋,23
眨下眼,眨下眼,23
外力,外力,23
感慨,感慨,23
佐敦,佐敦,23
午飯,午飯,23
擺酒,擺酒,23
紫色,紫色,23
碩士,碩士,23
連載,連載,23
會否,會否,23
約會,約會,23
文言文,文言文,23
笛,笛,23
暑期工,暑期工,23
火燒,火燒,23
堅係,堅係,23
要是,要是,23
卿,卿,23
加拿大,加拿大,23
一會,一會,23
一瞬間,一瞬間,23
呼出,呼出,23
思潮,思潮,23
要緊,要緊,23
子雞,子雞,23
默書,默書,23
觀音坐蓮,觀音坐蓮,23
上水,上水,22
不朽,不朽,22
位於,位於,22
修飾,修飾,22
僅僅,僅僅,22
全日,全日,22
公事,公事,22
公廁,公廁,22
冇理由,冇理由,22
古老,古老,22
唔使講,唔使講,22
土生土長,土生土長,22
大件事,大件事,22
大自然,大自然,22
好天,好天,22
定點,定點,22
展示,展示,22
弱點,弱點,22
心安理得,心安理得,22
怡,怡,22
戥,戥,22
效應,效應,22
暮,暮,22
暴露,暴露,22
死神,死神,22
氣勢,氣勢,22
沙灘,沙灘,22
沿途,沿途,22
流連,流連,22
深水埗,深水埗,22
照常,照常,22
熔,熔,22
直情,直情,22
祠,祠,22
絲毫,絲毫,22
群組,群組,22
肝,肝,22
臨時,臨時,22
自決,自決,22
蠟燭,蠟燭,22
趕住,趕住,22
鄙視,鄙視,22
鞠躬,鞠躬,22
風浪,風浪,22
南亞,南亞,22
超人,超人,22
國內,國內,22
支配,支配,22
教科書,教科書,22
會心,會心,22
本性,本性,22
諗深一層,諗深一層,22
財政,財政,22
僑,僑,22
宰,宰,22
感恩,感恩,22
朝聖,朝聖,22
聖經,聖經,22
何解,何解,22
孔子,孔子,22
舉例,舉例,22
全場,全場,22
出產,出產,22
啡色,啡色,22
數以,數以,22
唔妥,唔妥,22
現存,現存,22
終身,終身,22
斷斷,斷斷,22
熙,熙,22
離譜,離譜,22
柯,柯,22
難受,難受,22
場所,場所,22
蓬,蓬,22
非法,非法,22
御,御,22
痛楚,痛楚,22
節日,節日,22
搜索,搜索,22
秤,秤,22
絕非,絕非,22
遺產,遺產,22
show,show,22
專用,專用,22
鴉,鴉,22
中間人,中間人,22
幼兒,幼兒,22
防疫,防疫,22
家常,家常,22
步驟,步驟,22
正宗,正宗,22
嘲笑,嘲笑,22
慣用,慣用,22
一再,一再,22
上門,上門,22
剩返,剩返,22
咽,咽,22
啼,啼,22
收音機,收音機,22
正在,正在,22
焰,焰,22
買下,買下,22
跑道,跑道,22
視覺,視覺,22
倒數,倒數,22
時事,時事,22
講述,講述,22
赤裸,赤裸,22
逃離,逃離,22
長遠,長遠,22
窗簾,窗簾,22
流浪,流浪,22
講座,講座,22
動搖,動搖,22
打邊爐,打邊爐,22
十世,十世,22
螢光,螢光,22
極速,極速,22
殷,殷,22
癱,癱,22
阿根廷,阿根廷,22
黏,黏,22
預言,預言,22
痾,痾,22
春秋,春秋,22
歡呼,歡呼,22
廁紙,廁紙,22
分身,分身,22
反省,反省,22
培養,培養,22
天子,天子,22
奢望,奢望,22
平庸,平庸,22
心痛,心痛,22
晦,晦,22
未算,未算,22
談論,談論,22
亂世,亂世,22
兇手,兇手,22
兌,兌,22
功利,功利,22
戰友,戰友,22
搵工,搵工,22
暗地裡,暗地裡,22
有意無意,有意無意,22
毫無疑問,毫無疑問,22
洗腦,洗腦,22
港英,港英,22
漫長,漫長,22
版權,版權,22
知情,知情,22
福利,福利,22
精神病,精神病,22
落力,落力,22
頭緒,頭緒,22
字幕,字幕,22
原子,原子,22
澄清,澄清,22
僭,僭,22
高考,高考,22
犯人,犯人,22
fing,fing,22
星星,星星,22
業績,業績,22
市面,市面,22
特區政府,特區政府,22
出院,出院,22
劏房,劏房,22
萬分,萬分,22
高鐵,高鐵,22
嗲,嗲,22
偵探,偵探,22
偷聽,偷聽,22
彤,彤,22
新詩,新詩,22
分離,分離,22
親子,親子,22
老媽子,老媽子,22
重有,重有,22
平安夜,平安夜,22
甜故,甜故,22
自修,自修,22
敷衍,敷衍,22
你老闆,你老闆,22
打手,打手,22
真人真事,真人真事,22
走數,走數,22
踢波,踢波,22
喼,喼,22
諗真啲,諗真啲,22
啪啪啪,啪啪啪,22
大嗌,大嗌,22
失蹤,失蹤,22
證券,證券,22
不妙,不妙,22
慘叫,慘叫,22
焦急,焦急,22
綠帽,綠帽,22
老頂,老頂,22
逕自,逕自,22
外省,外省,22
樂器,樂器,22
唐樓,唐樓,22
瑤,瑤,22
香蕉,香蕉,22
不復,不復,21
何其,何其,21
偷懶,偷懶,21
全體,全體,21
前進,前進,21
北風,北風,21
命名,命名,21
喜愛,喜愛,21
團圓,團圓,21
執到,執到,21
大腿,大腿,21
大路,大路,21
天光,天光,21
天然,天然,21
學藝,學藝,21
寄望,寄望,21
彈性,彈性,21
擒,擒,21
月尾,月尾,21
條鐵,條鐵,21
熱心,熱心,21
甫,甫,21
眷,眷,21
知己,知己,21
置身,置身,21
蛛,蛛,21
證實,證實,21
軍人,軍人,21
遊人,遊人,21
過海,過海,21
開工,開工,21
降低,降低,21
雀仔,雀仔,21
驚天,驚天,21
作曲,作曲,21
介入,介入,21
性質,性質,21
推行,推行,21
擎,擎,21
資金,資金,21
釀,釀,21
內戰,內戰,21
出糧,出糧,21
全靠,全靠,21
描繪,描繪,21
王子,王子,21
產物,產物,21
一嚟,一嚟,21
原始,原始,21
慣性,慣性,21
舉辦,舉辦,21
遜,遜,21
正好,正好,21
花紋,花紋,21
忠誠,忠誠,21
推斷,推斷,21
求婚,求婚,21
自家,自家,21
虐待,虐待,21
含蓄,含蓄,21
搞亂,搞亂,21
欲望,欲望,21
侵犯,侵犯,21
冠軍,冠軍,21
猶太人,猶太人,21
輾,輾,21
自願,自願,21
世界觀,世界觀,21
探討,探討,21
入境,入境,21
公斤,公斤,21
導賞,導賞,21
頑,頑,21
口頭,口頭,21
同理心,同理心,21
危急,危急,21
夭,夭,21
保險,保險,21
晾,晾,21
渡過,渡過,21
天主教,天主教,21
夫人,夫人,21
干預,干預,21
呢頭,呢頭,21
蘿蔔,蘿蔔,21
長輩,長輩,21
具有,具有,21
ID,ID,21
好返,好返,21
殺到,殺到,21
民望,民望,21
體系,體系,21
頂多,頂多,21
滋味,滋味,21
農場,農場,21
高地,高地,21
蒂,蒂,21
甜品,甜品,21
迷失,迷失,21
丈夫,丈夫,21
兒子,兒子,21
化身,化身,21
喃喃自語,喃喃自語,21
扭轉,扭轉,21
淚水,淚水,21
隊長,隊長,21
預先,預先,21
穴,穴,21
總編,總編,21
女權,女權,21
弱勢,弱勢,21
男士,男士,21
終日,終日,21
自尊,自尊,21
衫褲,衫褲,21
小學雞,小學雞,21
語源,語源,21
反感,反感,21
殘忍,殘忍,21
開波,開波,21
後記,後記,21
曖昧,曖昧,21
信仰,信仰,21
光線,光線,21
區區,區區,21
歌曲,歌曲,21
推進,推進,21
遁,遁,21
包袱,包袱,21
扶手,扶手,21
昌,昌,21
從事,從事,21
民政,民政,21
自大,自大,21
初步,初步,21
下落,下落,21
打發,打發,21
拖延,拖延,21
表面上,表面上,21
得救,得救,21
歇後語,歇後語,21
術語,術語,21
衰人,衰人,21
sure,sure,21
睇怕,睇怕,21
睇開,睇開,21
排斥,排斥,21
新娘,新娘,21
韓文,韓文,21
惰,惰,21
散文,散文,21
諸如此類,諸如此類,21
不錯,不錯,21
批鬥,批鬥,21
插嘴,插嘴,21
生路,生路,21
見解,見解,21
lun,lun,21
上樓,上樓,21
上萬,上萬,21
再傾,再傾,21
叱,叱,21
咁鬼,咁鬼,21
回合,回合,21
圍爐,圍爐,21
女皇,女皇,21
幾錢,幾錢,21
打滾,打滾,21
推敲,推敲,21
改寫,改寫,21
曾幾何時,曾幾何時,21
機械人,機械人,21
此時此刻,此時此刻,21
滑鼠,滑鼠,21
百分之,百分之,21
聯會,聯會,21
脆弱,脆弱,21
談判,談判,21
警隊,警隊,21
退一步,退一步,21
醜惡,醜惡,21
陣間,陣間,21
無邊,無邊,21
喘氣,喘氣,21
物種,物種,21
囡囡,囡囡,21
發聲,發聲,21
震動,震動,21
哮,哮,21
越來越,越來越,21
漂亮,漂亮,21
荃灣,荃灣,21
豬扒,豬扒,21
打冷,打冷,21
祖國,祖國,21
獨家,獨家,21
talk,talk,21
位數,位數,21
得當,得當,21
殺你,殺你,21
總是,總是,21
大行,大行,21
年頭,年頭,21
定神,定神,21
聳肩,聳肩,21
螢幕,螢幕,21
詭異,詭異,21
增值,增值,21
傷口,傷口,21
糾纏,糾纏,21
link,link,21
既得,既得,21
做女,做女,21
浮現,浮現,21
女真,女真,21
咋喎,咋喎,21
燃燒,燃燒,21
雯,雯,21
半場,半場,21
編碼,編碼,21
鑽石,鑽石,21
小姑,小姑,21
再說,再說,21
呯,呯,21
火柴,火柴,21
趕唔切,趕唔切,21
嫖,嫖,21
人們,人們,21
冷氣機,冷氣機,21
後門,後門,21
禮盒,禮盒,21
擰頭,擰頭,21
白痴仔,白痴仔,21
炒蛋,炒蛋,21
不在話下,不在話下,20
交談,交談,20
伯公,伯公,20
其次,其次,20
分流,分流,20
勝在,勝在,20
區內,區內,20
十一月,十一月,20
十二月,十二月,20
反轉,反轉,20
可貴,可貴,20
吊鐘,吊鐘,20
哨,哨,20
執嘢,執嘢,20
大片,大片,20
天時,天時,20
好戲,好戲,20
定性,定性,20
專欄,專欄,20
導遊,導遊,20
巴士站,巴士站,20
得落,得落,20
心儀,心儀,20
擴大,擴大,20
既定,既定,20
日記,日記,20
早上,早上,20
會合,會合,20
有幸,有幸,20
有路,有路,20
未定,未定,20
棠,棠,20
樓上,樓上,20
欠缺,欠缺,20
步伐,步伐,20
水機,水機,20
相就,相就,20
相近,相近,20
禁止,禁止,20
穿越,穿越,20
第日,第日,20
苛,苛,20
行人路,行人路,20
諧音,諧音,20
諸多,諸多,20
識人,識人,20
警車,警車,20
貨車,貨車,20
跟手,跟手,20
蹄,蹄,20
閣,閣,20
難為,難為,20
順風,順風,20
頒,頒,20
額外,額外,20
類型,類型,20
武俠,武俠,20
啜,啜,20
強權,強權,20
拓,拓,20
框架,框架,20
肋,肋,20
釋放,釋放,20
顧名思義,顧名思義,20
文物,文物,20
密集,密集,20
突出,突出,20
過渡,過渡,20
鑽研,鑽研,20
呼天搶地,呼天搶地,20
太太,太太,20
展現,展現,20
延續,延續,20
悲傷,悲傷,20
資本主義,資本主義,20
陪伴,陪伴,20
排列,排列,20
羣,羣,20
美食,美食,20
內涵,內涵,20
矢,矢,20
共有,共有,20
國有,國有,20
氣餒,氣餒,20
捍,捍,20
捍衛,捍衛,20
斷斷續續,斷斷續續,20
連繫,連繫,20
MV,MV,20
名人,名人,20
委屈,委屈,20
買賣,買賣,20
高等,高等,20
凶,凶,20
大呼,大呼,20
香煙,香煙,20
驚醒,驚醒,20
娃,娃,20
消耗,消耗,20
無盡,無盡,20
爹,爹,20
福建,福建,20
屙屎,屙屎,20
接手,接手,20
留學,留學,20
黐線,黐線,20
Mac,Mac,20
mini,mini,20
分隔,分隔,20
複製,複製,20
呼籲,呼籲,20
機率,機率,20
派對,派對,20
相隔,相隔,20
入手,入手,20
抵抗,抵抗,20
杰,杰,20
貼地,貼地,20
下巴,下巴,20
阿嫲,阿嫲,20
不乏,不乏,20
不盡,不盡,20
月光,月光,20
本份,本份,20
水準,水準,20
隊友,隊友,20
猛烈,猛烈,20
石像,石像,20
朱古力,朱古力,20
中史,中史,20
冒險,冒險,20
帥,帥,20
不得不,不得不,20
劇透,劇透,20
尊嚴,尊嚴,20
波士,波士,20
生女,生女,20
聾,聾,20
印刷,印刷,20
合唱,合唱,20
駒,駒,20
握手,握手,20
晉,晉,20
睇中,睇中,20
free,free,20
相繼,相繼,20
豆腐,豆腐,20
啱音,啱音,20
舊式,舊式,20
合約,合約,20
車仔,車仔,20
大媽,大媽,20
奇妙,奇妙,20
沙士,沙士,20
訣,訣,20
長洲,長洲,20
穎,穎,20
常常,常常,20
感性,感性,20
矇,矇,20
統計學,統計學,20
背負,背負,20
證件,證件,20
長毛,長毛,20
痛快,痛快,20
下氣,下氣,20
關公,關公,20
look,look,20
交待,交待,20
議論,議論,20
大結局,大結局,20
正題,正題,20
日語,日語,20
唔喺度,唔喺度,20
天命,天命,20
封面,封面,20
解脫,解脫,20
拋棄,拋棄,20
不動聲色,不動聲色,20
兒嬉,兒嬉,20
呼喝,呼喝,20
好好地,好好地,20
家教,家教,20
履歷,履歷,20
恭喜發財,恭喜發財,20
打轉,打轉,20
指標,指標,20
普教中,普教中,20
死路,死路,20
睇醫生,睇醫生,20
螺絲,螺絲,20
解放,解放,20
解說,解說,20
誘因,誘因,20
談戀愛,談戀愛,20
銜,銜,20
面具,面具,20
牌子,牌子,20
維港,維港,20
聽見,聽見,20
窒息,窒息,20
多半,多半,20
街站,街站,20
僭建,僭建,20
付諸,付諸,20
守則,守則,20
癢,癢,20
邋遢,邋遢,20
出書,出書,20
摑,摑,20
玩玩下,玩玩下,20
關懷,關懷,20
體貼,體貼,20
公布,公布,20
睇見,睇見,20
菊,菊,20
鐵馬,鐵馬,20
肥佬,肥佬,20
屋苑,屋苑,20
領養,領養,20
略為,略為,20
計我話,計我話,20
小器,小器,20
空白,空白,20
認輸,認輸,20
提倡,提倡,20
通脹,通脹,20
皺眉,皺眉,20
氣力,氣力,20
瀟灑,瀟灑,20
老麥,老麥,20
噴水池,噴水池,20
淑,淑,20
重口,重口,20
重口味,重口味,20
課室,課室,20
黑影,黑影,20
應得,應得,20
無恥,無恥,20
跟蹤,跟蹤,20
幾多錢,幾多錢,20
肥婆,肥婆,20
內疚,內疚,20
忿,忿,20
理直氣壯,理直氣壯,20
靡,靡,20
羈,羈,20
看見,看見,20
唐詩,唐詩,20
搔,搔,20
女郎,女郎,20
仔仔,仔仔,20
甴曱,甴曱,20
龍蝦,龍蝦,20
黃埔,黃埔,20
卡數,卡數,20
虱,虱,20
喲,喲,20
三月,三月,19
上落,上落,19
上限,上限,19
信號,信號,19
兩粒,兩粒,19
冇計,冇計,19
出馬,出馬,19
墩,墩,19
好轉,好轉,19
字面,字面,19
家鄉,家鄉,19
密碼,密碼,19
工場,工場,19
幾步,幾步,19
念頭,念頭,19
惡劣,惡劣,19
打交,打交,19
打爛,打爛,19
搭的,搭的,19
搭的士,搭的士,19
擰轉,擰轉,19
攀,攀,19
早起,早起,19
本港,本港,19
水道,水道,19
江湖,江湖,19
流血,流血,19
港九,港九,19
無機,無機,19
狹窄,狹窄,19
玩意,玩意,19
瞄,瞄,19
禽,禽,19
稍微,稍微,19
纜,纜,19
翠,翠,19
膠袋,膠袋,19
補償,補償,19
褪,褪,19
路過,路過,19
軍事,軍事,19
過頭,過頭,19
道別,道別,19
遺址,遺址,19
鐵路,鐵路,19
長城,長城,19
長年,長年,19
陵,陵,19
電單車,電單車,19
驗證,驗證,19
鯨,鯨,19
泡沫,泡沫,19
量度,量度,19
低下,低下,19
引擎,引擎,19
經已,經已,19
財富,財富,19
身高,身高,19
時裝,時裝,19
相應,相應,19
加熱,加熱,19
芽,芽,19
難做,難做,19
最為,最為,19
祭壇,祭壇,19
農業,農業,19
互聯網,互聯網,19
眾生,眾生,19
聯網,聯網,19
愛好,愛好,19
在身,在身,19
校巴,校巴,19
佔據,佔據,19
壘,壘,19
橄欖,橄欖,19
滅亡,滅亡,19
自治區,自治區,19
報復,報復,19
清白,清白,19
地域,地域,19
原意,原意,19
定出,定出,19
荀子,荀子,19
感想,感想,19
或多或少,或多或少,19
復仇,復仇,19
撰,撰,19
既有,既有,19
民心,民心,19
輾轉,輾轉,19
into,into,19
使出,使出,19
著名,著名,19
偶像,偶像,19
分散,分散,19
搗,搗,19
本地人,本地人,19
荷蘭,荷蘭,19
不得已,不得已,19
供奉,供奉,19
冥,冥,19
唔及,唔及,19
大大聲,大大聲,19
故人,故人,19
煙霧,煙霧,19
深層,深層,19
周街,周街,19
大台,大台,19
房屋,房屋,19
貫徹,貫徹,19
夜總會,夜總會,19
北上,北上,19
格局,格局,19
細小,細小,19
劇場,劇場,19
盆,盆,19
一廂情願,一廂情願,19
引導,引導,19
應對,應對,19
免得,免得,19
超級市場,超級市場,19
有味,有味,19
簡介,簡介,19
難題,難題,19
駝,駝,19
上半,上半,19
抽象,抽象,19
指向,指向,19
學業,學業,19
彰,彰,19
高大,高大,19
都市,都市,19
hall,hall,19
外界,外界,19
對外,對外,19
恐嚇,恐嚇,19
戰勝,戰勝,19
篇幅,篇幅,19
實物,實物,19
慚,慚,19
唱K,唱K,19
妥協,妥協,19
無綫,無綫,19
珍貴,珍貴,19
宣誓,宣誓,19
正統,正統,19
職位,職位,19
進化,進化,19
搽,搽,19
試圖,試圖,19
對答,對答,19
平反,平反,19
上流,上流,19
對得住,對得住,19
炫,炫,19
點心,點心,19
陰公,陰公,19
重量,重量,19
公主,公主,19
難睇,難睇,19
生態,生態,19
城大,城大,19
係咁大,係咁大,19
忽視,忽視,19
晚會,晚會,19
講白,講白,19
生涯,生涯,19
借錢,借錢,19
周身,周身,19
埋手,埋手,19
倆,倆,19
意境,意境,19
高深,高深,19
優秀,優秀,19
扼,扼,19
自卑,自卑,19
呼叫,呼叫,19
商品,商品,19
埋怨,埋怨,19
屈服,屈服,19
振作,振作,19
耿,耿,19
上任,上任,19
出版社,出版社,19
升級,升級,19
咪自,咪自,19
妒,妒,19
就住,就住,19
恍然,恍然,19
打壓,打壓,19
接著,接著,19
標榜,標榜,19
眼濕濕,眼濕濕,19
節拍,節拍,19
美元,美元,19
腳踏,腳踏,19
風扇,風扇,19
麥記,麥記,19
瑣,瑣,19
口供,口供,19
視野,視野,19
診所,診所,19
Miss,Miss,19
無助,無助,19
有意思,有意思,19
注意力,注意力,19
油麻地,油麻地,19
咪玩啦,咪玩啦,19
細細粒,細細粒,19
傲嬌,傲嬌,19
借詞,借詞,19
分歧,分歧,19
大計,大計,19
可信,可信,19
戶口,戶口,19
全職,全職,19
妳,妳,19
賓語,賓語,19
雙重,雙重,19
公式,公式,19
細細個,細細個,19
保住,保住,19
mind,mind,19
眾籌,眾籌,19
麻甩佬,麻甩佬,19
出任,出任,19
二五仔,二五仔,19
仆你個街,仆你個街,19
女優,女優,19
轉台,轉台,19
通紅,通紅,19
書包,書包,19
功力,功力,19
廖,廖,19
痛風,痛風,19
龍舟,龍舟,19
粟米,粟米,19
失常,失常,19
郁手,郁手,19
教師,教師,19
村落,村落,19
偷睇,偷睇,19
定期,定期,19
爽快,爽快,19
火光,火光,19
立亂,立亂,19
大中華,大中華,19
唔客氣,唔客氣,19
無聲無息,無聲無息,19
詢問,詢問,19
俾心機,俾心機,19
清脆,清脆,19
拖手,拖手,19
收銀,收銀,19
麥當勞,麥當勞,19
回心轉意,回心轉意,19
多士,多士,19
崔,崔,19
幽靈,幽靈,19
後巷,後巷,19
新郎,新郎,19
唔係呀嘛,唔係呀嘛,19
好搵,好搵,19
輕聲,輕聲,19
腸仔,腸仔,19
經期,經期,19
好立克,好立克,19
見習,見習,19
上路,上路,18
人流,人流,18
佈滿,佈滿,18
南北,南北,18
國會,國會,18
壁畫,壁畫,18
大同,大同,18
天色,天色,18
專程,專程,18
對家,對家,18
小型,小型,18
屋頂,屋頂,18
山竹,山竹,18
差別,差別,18
心理準備,心理準備,18
指定,指定,18
昏暗,昏暗,18
有今日,有今日,18
枕,枕,18
檻,檻,18
火藥,火藥,18
當局,當局,18
發起,發起,18
相遇,相遇,18
破綻,破綻,18
神仙,神仙,18
罪人,罪人,18
耽,耽,18
艦,艦,18
連登,連登,18
避風塘,避風塘,18
部隊,部隊,18
阻礙,阻礙,18
隙,隙,18
雞翼,雞翼,18
順住,順住,18
鬼叫,鬼叫,18
混合,混合,18
長短,長短,18
何謂,何謂,18
促進,促進,18
家政,家政,18
得分,得分,18
換取,換取,18
整整,整整,18
嗰下,嗰下,18
有禮,有禮,18
豉油,豉油,18
傳遞,傳遞,18
嚴肅,嚴肅,18
工匠,工匠,18
引申,引申,18
繪畫,繪畫,18
覆蓋,覆蓋,18
體現,體現,18
何以,何以,18
前排,前排,18
建基於,建基於,18
名為,名為,18
城鎮,城鎮,18
失眠,失眠,18
孝順,孝順,18
地標,地標,18
流通,流通,18
炎熱,炎熱,18
頰,頰,18
鋤,鋤,18
國土,國土,18
詩歌,詩歌,18
誤解,誤解,18
鋪排,鋪排,18
勇者,勇者,18
沙漠,沙漠,18
下間,下間,18
拆開,拆開,18
啓,啓,18
利害,利害,18
民眾,民眾,18
面孔,面孔,18
pack,pack,18
默契,默契,18
定必,定必,18
工程師,工程師,18
種植,種植,18
弗,弗,18
手手腳腳,手手腳腳,18
端午節,端午節,18
細胞,細胞,18
感應,感應,18
拘捕,拘捕,18
搜集,搜集,18
護照,護照,18
啃,啃,18
砸,砸,18
閩,閩,18
酋,酋,18
開創,開創,18
如意,如意,18
居住,居住,18
確立,確立,18
選票,選票,18
人力,人力,18
名義,名義,18
得失,得失,18
武力,武力,18
皇家,皇家,18
國教,國教,18
定居,定居,18
悲慘,悲慘,18
靈感,靈感,18
妻子,妻子,18
東京,東京,18
照片,照片,18
突兀,突兀,18
自立,自立,18
hur,hur,18
依照,依照,18
再三,再三,18
拍攝,拍攝,18
風流,風流,18
大可以,大可以,18
生動,生動,18
友誼,友誼,18
交通工具,交通工具,18
燶,燶,18
KOL,KOL,18
包含,包含,18
胃口,胃口,18
文法,文法,18
有之,有之,18
人稱,人稱,18
幽默,幽默,18
蠱惑,蠱惑,18
聘,聘,18
厘米,厘米,18
僅有,僅有,18
實地,實地,18
影片,影片,18
時下,時下,18
海風,海風,18
藍寶石,藍寶石,18
M記,M記,18
下水,下水,18
堂堂,堂堂,18
好奇心,好奇心,18
男人老狗,男人老狗,18
轉工,轉工,18
攞嚟,攞嚟,18
教仔,教仔,18
月餅,月餅,18
上手,上手,18
嘍,嘍,18
學運,學運,18
悖論,悖論,18
被動,被動,18
上當,上當,18
命題,命題,18
心存,心存,18
懈,懈,18
正反,正反,18
狙,狙,18
痛心,痛心,18
真命天子,真命天子,18
自由行,自由行,18
贏得,贏得,18
轉眼,轉眼,18
中醫,中醫,18
人選,人選,18
傳送,傳送,18
唔怪得之,唔怪得之,18
喪屍,喪屍,18
屍體,屍體,18
廝,廝,18
應酬,應酬,18
成語,成語,18
手尾,手尾,18
手腕,手腕,18
指責,指責,18
斃,斃,18
文革,文革,18
昆,昆,18
暗黑,暗黑,18
會意,會意,18
減肥,減肥,18
測驗,測驗,18
煮飯,煮飯,18
破滅,破滅,18
誠信,誠信,18
辦事,辦事,18
農曆新年,農曆新年,18
開口埋口,開口埋口,18
風聲,風聲,18
飢,飢,18
岸邊,岸邊,18
性騷擾,性騷擾,18
防護,防護,18
斂,斂,18
乞人憎,乞人憎,18
刨,刨,18
器官,器官,18
掹,掹,18
請假,請假,18
佢老母,佢老母,18
話時話,話時話,18
痴撚線,痴撚線,18
打爆,打爆,18
評分,評分,18
定下,定下,18
消除,消除,18
港鐵,港鐵,18
車門,車門,18
喔,喔,18
十足十,十足十,18
親眼,親眼,18
繁榮,繁榮,18
証,証,18
完畢,完畢,18
一戰,一戰,18
cam,cam,18
壽司,壽司,18
跑步,跑步,18
情形,情形,18
伊朗,伊朗,18
欺凌,欺凌,18
重演,重演,18
拜託,拜託,18
忠心,忠心,18
重溫,重溫,18
定語,定語,18
一五一十,一五一十,18
兩老,兩老,18
古惑,古惑,18
客廳,客廳,18
生理,生理,18
關上,關上,18
舊水,舊水,18
離去,離去,18
亂嚟,亂嚟,18
什麼,什麼,18
陌生人,陌生人,18
僱主,僱主,18
逆流,逆流,18
回味,回味,18
破處,破處,18
丙,丙,18
搖晃,搖晃,18
作狀,作狀,18
法定,法定,18
相思,相思,18
皇馬,皇馬,18
開玩笑,開玩笑,18
力氣,力氣,18
語調,語調,18
幢,幢,18
哀求,哀求,18
自慰,自慰,18
早晨,早晨,18
手掌,手掌,18
學系,學系,18
重慶,重慶,18
最低工資,最低工資,18
半斤八兩,半斤八兩,18
咬住,咬住,18
收手,收手,18
蝗蟲,蝗蟲,18
傻佬,傻佬,18
點不知,點不知,18
公正,公正,18
外婆,外婆,18
夫妻,夫妻,18
安定,安定,18
信用卡,信用卡,18
可是,可是,18
快快趣,快快趣,18
炸子雞,炸子雞,18
捌,捌,18
米線,米線,18
兄長,兄長,18
檳,檳,18
車卡,車卡,18
充足,充足,17
卒之,卒之,17
去馬,去馬,17
回去,回去,17
報到,報到,17
塞車,塞車,17
填海,填海,17
大王,大王,17
好景不常,好景不常,17
好眼,好眼,17
封鎖,封鎖,17
手續,手續,17
探索,探索,17
服從,服從,17
歉意,歉意,17
水塘,水塘,17
淵,淵,17
熬,熬,17
爭拗,爭拗,17
眼球,眼球,17
睫,睫,17
確診,確診,17
